title,poem,poet
I Saw in Louisiana A Live-Oak Growing,"I saw in Louisiana a live-oak growing, All alone stood it and the moss hung down from the branches, Without any companion it grew there uttering joyous leaves of dark green, And its look, rude, unbending, lusty, made me think of myself, But I wonder’d how it could utter joyous leaves standing alone there without its friend near, for I knew I could not, And I broke off a twig with a certain number of leaves upon it, and twined around it a little moss, And brought it away, and I have placed it in sight in my room, It is not needed to remind me as of my own dear friends, (For I believe lately I think of little else than of them,) Yet it remains to me a curious token, it makes me think of manly love; For all that, and though the live-oak glistens there in Louisiana solitary in a wide flat space, Uttering joyous leaves all its life without a friend a lover near, I know very well I could not.Source: Leaves of Grass (1891-2) (1892)",Walt Whitman
I Sing the Body Electric,"1 I sing the body electric, The armies of those I love engirth me and I engirth them, They will not let me off till I go with them, respond to them, And discorrupt them, and charge them full with the charge of the soul.  Was it doubted that those who corrupt their own bodies conceal themselves? And if those who defile the living are as bad as they who defile the dead? And if the body does not do fully as much as the soul? And if the body were not the soul, what is the soul?  2 The love of the body of man or woman balks account, the body itself balks account, That of the male is perfect, and that of the female is perfect.  The expression of the face balks account, But the expression of a well-made man appears not only in his face, It is in his limbs and joints also, it is curiously in the joints of his hips and wrists, It is in his walk, the carriage of his neck, the flex of his waist and knees, dress does not hide him, The strong sweet quality he has strikes through the cotton and broadcloth, To see him pass conveys as much as the best poem, perhaps more, You linger to see his back, and the back of his neck and shoulder-side.  The sprawl and fulness of babes, the bosoms and heads of women, the folds of their dress, their style as we pass in the street, the contour of their shape downwards, The swimmer naked in the swimming-bath, seen as he swims through the transparent green-shine, or lies with his face up and rolls silently to and fro in the heave of the water, The bending forward and backward of rowers in row-boats, the horseman in his saddle, Girls, mothers, house-keepers, in all their performances, The group of laborers seated at noon-time with their open dinner-kettles, and their wives waiting, The female soothing a child, the farmer’s daughter in the garden or cow-yard, The young fellow hoeing corn, the sleigh-driver driving his six horses through the crowd, The wrestle of wrestlers, two apprentice-boys, quite grown, lusty, good-natured, native-born, out on the vacant lot at sun-down after work, The coats and caps thrown down, the embrace of love and resistance, The upper-hold and under-hold, the hair rumpled over and blinding the eyes; The march of firemen in their own costumes, the play of masculine muscle through clean-setting trowsers and waist-straps, The slow return from the fire, the pause when the bell strikes suddenly again, and the listening on the alert, The natural, perfect, varied attitudes, the bent head, the curv’d neck and the counting; Such-like I love—I loosen myself, pass freely, am at the mother’s breast with the little child, Swim with the swimmers, wrestle with wrestlers, march in line with the firemen, and pause, listen, count.  3 I knew a man, a common farmer, the father of five sons, And in them the fathers of sons, and in them the fathers of sons.  This man was of wonderful vigor, calmness, beauty of person, The shape of his head, the pale yellow and white of his hair and beard, the immeasurable meaning of his black eyes, the richness and breadth of his manners, These I used to go and visit him to see, he was wise also, He was six feet tall, he was over eighty years old, his sons were massive, clean, bearded, tan-faced, handsome, They and his daughters loved him, all who saw him loved him, They did not love him by allowance, they loved him with personal love, He drank water only, the blood show’d like scarlet through the clear-brown skin of his face, He was a frequent gunner and fisher, he sail’d his boat himself, he had a fine one presented to him by a ship-joiner, he had fowling-pieces presented to him by men that loved him, When he went with his five sons and many grand-sons to hunt or fish, you would pick him out as the most beautiful and vigorous of the gang, You would wish long and long to be with him, you would wish to sit by him in the boat that you and he might touch each other.  4 I have perceiv’d that to be with those I like is enough, To stop in company with the rest at evening is enough, To be surrounded by beautiful, curious, breathing, laughing flesh is enough, To pass among them or touch any one, or rest my arm ever so lightly round his or her neck for a moment, what is this then? I do not ask any more delight, I swim in it as in a sea.  There is something in staying close to men and women and looking on them, and in the contact and odor of them, that pleases the soul well, All things please the soul, but these please the soul well.  5 This is the female form, A divine nimbus exhales from it from head to foot, It attracts with fierce undeniable attraction, I am drawn by its breath as if I were no more than a helpless vapor, all falls aside but myself and it, Books, art, religion, time, the visible and solid earth, and what was expected of heaven or fear’d of hell, are now consumed, Mad filaments, ungovernable shoots play out of it, the response likewise ungovernable, Hair, bosom, hips, bend of legs, negligent falling hands all diffused, mine too diffused, Ebb stung by the flow and flow stung by the ebb, love-flesh swelling and deliciously aching, Limitless limpid jets of love hot and enormous, quivering jelly of love, white-blow and delirious juice, Bridegroom night of love working surely and softly into the prostrate dawn, Undulating into the willing and yielding day, Lost in the cleave of the clasping and sweet-flesh’d day.  This the nucleus—after the child is born of woman, man is born of woman, This the bath of birth, this the merge of small and large, and the outlet again.  Be not ashamed women, your privilege encloses the rest, and is the exit of the rest, You are the gates of the body, and you are the gates of the soul.  The female contains all qualities and tempers them, She is in her place and moves with perfect balance, She is all things duly veil’d, she is both passive and active, She is to conceive daughters as well as sons, and sons as well as daughters.  As I see my soul reflected in Nature, As I see through a mist, One with inexpressible completeness, sanity, beauty, See the bent head and arms folded over the breast, the Female I see.  6 The male is not less the soul nor more, he too is in his place, He too is all qualities, he is action and power, The flush of the known universe is in him, Scorn becomes him well, and appetite and defiance become him well, The wildest largest passions, bliss that is utmost, sorrow that is utmost become him well, pride is for him, The full-spread pride of man is calming and excellent to the soul, Knowledge becomes him, he likes it always, he brings every thing to the test of himself, Whatever the survey, whatever the sea and the sail he strikes soundings at last only here, (Where else does he strike soundings except here?)  The man’s body is sacred and the woman’s body is sacred, No matter who it is, it is sacred—is it the meanest one in the laborers’ gang? Is it one of the dull-faced immigrants just landed on the wharf? Each belongs here or anywhere just as much as the well-off, just as much as you, Each has his or her place in the procession.  (All is a procession, The universe is a procession with measured and perfect motion.)  Do you know so much yourself that you call the meanest ignorant? Do you suppose you have a right to a good sight, and he or she has no right to a sight? Do you think matter has cohered together from its diffuse float, and the soil is on the surface, and water runs and vegetation sprouts, For you only, and not for him and her?  7 A man’s body at auction, (For before the war I often go to the slave-mart and watch the sale,) I help the auctioneer, the sloven does not half know his business.  Gentlemen look on this wonder, Whatever the bids of the bidders they cannot be high enough for it, For it the globe lay preparing quintillions of years without one animal or plant, For it the revolving cycles truly and steadily roll’d.  In this head the all-baffling brain, In it and below it the makings of heroes.  Examine these limbs, red, black, or white, they are cunning in tendon and nerve, They shall be stript that you may see them.  Exquisite senses, life-lit eyes, pluck, volition, Flakes of breast-muscle, pliant backbone and neck, flesh not flabby, good-sized arms and legs, And wonders within there yet.  Within there runs blood, The same old blood! the same red-running blood! There swells and jets a heart, there all passions, desires, reachings, aspirations, (Do you think they are not there because they are not express’d in parlors and lecture-rooms?)  This is not only one man, this the father of those who shall be fathers in their turns, In him the start of populous states and rich republics, Of him countless immortal lives with countless embodiments and enjoyments.  How do you know who shall come from the offspring of his offspring through the centuries? (Who might you find you have come from yourself, if you could trace back through the centuries?)  8 A woman’s body at auction, She too is not only herself, she is the teeming mother of mothers, She is the bearer of them that shall grow and be mates to the mothers.  Have you ever loved the body of a woman? Have you ever loved the body of a man? Do you not see that these are exactly the same to all in all nations and times all over the earth?  If any thing is sacred the human body is sacred, And the glory and sweet of a man is the token of manhood untainted, And in man or woman a clean, strong, firm-fibred body, is more beautiful than the most beautiful face.  Have you seen the fool that corrupted his own live body? or the fool that corrupted her own live body? For they do not conceal themselves, and cannot conceal themselves.  9 O my body! I dare not desert the likes of you in other men and women, nor the likes of the parts of you, I believe the likes of you are to stand or fall with the likes of the soul, (and that they are the soul,) I believe the likes of you shall stand or fall with my poems, and that they are my poems, Man’s, woman’s, child’s, youth’s, wife’s, husband’s, mother’s, father’s, young man’s, young woman’s poems, Head, neck, hair, ears, drop and tympan of the ears, Eyes, eye-fringes, iris of the eye, eyebrows, and the waking or sleeping of the lids, Mouth, tongue, lips, teeth, roof of the mouth, jaws, and the jaw-hinges, Nose, nostrils of the nose, and the partition, Cheeks, temples, forehead, chin, throat, back of the neck, neck-slue, Strong shoulders, manly beard, scapula, hind-shoulders, and the ample side-round of the chest, Upper-arm, armpit, elbow-socket, lower-arm, arm-sinews, arm-bones, Wrist and wrist-joints, hand, palm, knuckles, thumb, forefinger, finger-joints, finger-nails, Broad breast-front, curling hair of the breast, breast-bone, breast-side, Ribs, belly, backbone, joints of the backbone, Hips, hip-sockets, hip-strength, inward and outward round, man-balls, man-root, Strong set of thighs, well carrying the trunk above, Leg fibres, knee, knee-pan, upper-leg, under-leg, Ankles, instep, foot-ball, toes, toe-joints, the heel; All attitudes, all the shapeliness, all the belongings of my or your body or of any one’s body, male or female, The lung-sponges, the stomach-sac, the bowels sweet and clean, The brain in its folds inside the skull-frame, Sympathies, heart-valves, palate-valves, sexuality, maternity, Womanhood, and all that is a woman, and the man that comes from woman, The womb, the teats, nipples, breast-milk, tears, laughter, weeping, love-looks, love-perturbations and risings, The voice, articulation, language, whispering, shouting aloud, Food, drink, pulse, digestion, sweat, sleep, walking, swimming, Poise on the hips, leaping, reclining, embracing, arm-curving and tightening, The continual changes of the flex of the mouth, and around the eyes, The skin, the sunburnt shade, freckles, hair, The curious sympathy one feels when feeling with the hand the naked meat of the body, The circling rivers the breath, and breathing it in and out, The beauty of the waist, and thence of the hips, and thence downward toward the knees, The thin red jellies within you or within me, the bones and the marrow in the bones, The exquisite realization of health; O I say these are not the parts and poems of the body only, but of the soul, O I say now these are the soul!",Walt Whitman
Kosmos,"Who includes diversity and is Nature, Who is the amplitude of the earth, and the coarseness and sexuality of the earth, and the great charity of the earth and the equilibrium also, Who has not look’d forth from the windows the eyes for nothing, or whose brain held audience with messengers for nothing, Who contains believers and disbelievers, who is the most majestic lover, Who holds duly his or her triune proportion of realism, spiritualism, and of the æsthetic or intellectual, Who having consider’d the body finds all its organs and parts good, Who, out of the theory of the earth and of his or her body understands by subtle analogies all other theories, The theory of a city, a poem, and of the large politics of these States; Who believes not only in our globe with its sun and moon, but in other globes with their suns and moons, Who, constructing the house of himself or herself, not for a day but for all time, sees races, eras, dates, generations, The past, the future, dwelling there, like space, inseparable together.",Walt Whitman
"Long, too long America","Long, too long America,
 Traveling roads all even and peaceful you learn'd from joys and prosperity only,
 But now, ah now, to learn from crises of anguish, advancing, grappling with direst fate and recoiling not,
 And now to conceive and show to the world what your children en-masse really are,
 (For who except myself has yet conceiv'd what your children en-masse really are?)Source: Leaves of Grass (1891–92) (1891)",Walt Whitman
"A March in the Ranks Hard-Prest, and the Road Unknown","A march in the ranks hard-prest, and the road unknown,A route through a heavy wood with muffled steps in the darkness,Our army foil’d with loss severe, and the sullen remnant retreating,Till after midnight glimmer upon us the lights of a dim-lighted building,We come to an open space in the woods, and halt by the dim-lighted building,’Tis a large old church at the crossing roads, now an impromptu hospitalEntering but for a minute I see a sight beyond all the pictures and poems ever made,Shadows of deepest, deepest black, just lit by moving candles and lamps,And by one great pitchy torch stationary with wild red flame and clouds of smoke,By these, crowds, groups of forms vaguely I see on the floor, some in the pews laid down,At my feet more distinctly a soldier, a mere lad, in danger of bleeding to death, (he is shot in the abdomen,)I stanch the blood temporarily, (the youngster’s face is white as a lily,)Then before I depart I sweep my eyes o’er the scene fain to absorb it all,Faces, varieties, postures beyond description, most in obscurity, some of them dead,Surgeons operating, attendants holding lights, the smell of ether, the odor of blood,The crowd, O the crowd of the bloody forms, the yard outside also fill’d,Some on the bare ground, some on planks or stretchers, some in the death-spasm sweating,An occasional scream or cry, the doctor’s shouted orders or calls,The glisten of the little steel instruments catching the glint of the torches,These I resume as I chant, I see again the forms, I smell the odor,Then hear outside the orders given, Fall in, my men, fall in;But first I bend to the dying lad, his eyes open, a half-smile gives he me,Then the eyes close, calmly close, and I speed forth to the darkness,Resuming, marching, ever in darkness marching, on in the ranks,The unknown road still marching.Source: Walt Whitman: Complete Poetry and Selected Prose (Houghton Mifflin Company, 1959)",Walt Whitman
A Noiseless Patient Spider,"A noiseless patient spider, I mark’d where on a little promontory it stood isolated, Mark’d how to explore the vacant vast surrounding, It launch’d forth filament, filament, filament, out of itself, Ever unreeling them, ever tirelessly speeding them.  And you O my soul where you stand, Surrounded, detached, in measureless oceans of space, Ceaselessly musing, venturing, throwing, seeking the spheres to connect them, Till the bridge you will need be form’d, till the ductile anchor hold, Till the gossamer thread you fling catch somewhere, O my soul.",Walt Whitman
O Captain! My Captain!,"O Captain! my Captain! our fearful trip is done,
 The ship has weather’d every rack, the prize we sought is won,
 The port is near, the bells I hear, the people all exulting,
 While follow eyes the steady keel, the vessel grim and daring;
                          But O heart! heart! heart!
                             O the bleeding drops of red,
                                Where on the deck my Captain lies,
                                   Fallen cold and dead.
 
 O Captain! my Captain! rise up and hear the bells;
 Rise up—for you the flag is flung—for you the bugle trills,
 For you bouquets and ribbon’d wreaths—for you the shores a-crowding,
 For you they call, the swaying mass, their eager faces turning;
                          Here Captain! dear father!
                             This arm beneath your head!
                                It is some dream that on the deck,
                                  You’ve fallen cold and dead.
 
 My Captain does not answer, his lips are pale and still,
 My father does not feel my arm, he has no pulse nor will,
 The ship is anchor’d safe and sound, its voyage closed and done,
 From fearful trip the victor ship comes in with object won;
                          Exult O shores, and ring O bells!
                             But I with mournful tread,
                                Walk the deck my Captain lies,
                                   Fallen cold and dead.Copyright Credit: n/aSource: Leaves of Grass (David McKay, 1891)",Walt Whitman
O Me! O Life!,"Oh me! Oh life! of the questions of these recurring,
 Of the endless trains of the faithless, of cities fill’d with the foolish,
 Of myself forever reproaching myself, (for who more foolish than I, and who more faithless?)
 Of eyes that vainly crave the light, of the objects mean, of the struggle ever renew’d,
 Of the poor results of all, of the plodding and sordid crowds I see around me,
 Of the empty and useless years of the rest, with the rest me intertwined,
 The question, O me! so sad, recurring—What good amid these, O me, O life?
 
                                        Answer.
 That you are here—that life exists and identity,
 That the powerful play goes on, and you may contribute a verse.Source: Leaves of Grass (1892)",Walt Whitman
O Tan-Faced Prairie-Boy,"O tan-faced prairie-boy,
Before you came to camp came many a welcome gift,
Praises and presents came and nourishing food, till at last among the recruits,
You came, taciturn, with nothing to give – we but look’d on each other,
When lo! more than all the gifts of the world you gave me. 
",Walt Whitman
On the Beach at Night,"On the beach at night, Stands a child with her father, Watching the east, the autumn sky.  Up through the darkness, While ravening clouds, the burial clouds, in black masses spreading, Lower sullen and fast athwart and down the sky, Amid a transparent clear belt of ether yet left in the east, Ascends large and calm the lord-star Jupiter, And nigh at hand, only a very little above, Swim the delicate sisters the Pleiades.  From the beach the child holding the hand of her father, Those burial-clouds that lower victorious soon to devour all, Watching, silently weeps.  Weep not, child, Weep not, my darling, With these kisses let me remove your tears, The ravening clouds shall not long be victorious, They shall not long possess the sky, they devour the stars only in apparition, Jupiter shall emerge, be patient, watch again another night, the Pleiades shall emerge, They are immortal, all those stars both silvery and golden shall shine out again, The great stars and the little ones shall shine out again, they endure, The vast immortal suns and the long-enduring pensive moons shall again shine.  Then dearest child mournest thou only for Jupiter? Considerest thou alone the burial of the stars?  Something there is, (With my lips soothing thee, adding I whisper, I give thee the first suggestion, the problem and indirection,) Something there is more immortal even than the stars, (Many the burials, many the days and nights, passing away,) Something that shall endure longer even than lustrous Jupiter Longer than sun or any revolving satellite, Or the radiant sisters the Pleiades. ",Walt Whitman
On the Beach at Night Alone,"On the beach at night alone, As the old mother sways her to and fro singing her husky song, As I watch the bright stars shining, I think a thought of the clef of the universes and of the future.  A vast similitude interlocks all, All spheres, grown, ungrown, small, large, suns, moons, planets, All distances of place however wide, All distances of time, all inanimate forms, All souls, all living bodies though they be ever so different, or in different worlds, All gaseous, watery, vegetable, mineral processes, the fishes, the brutes, All nations, colors, barbarisms, civilizations, languages, All identities that have existed or may exist on this globe, or any globe, All lives and deaths, all of the past, present, future, This vast similitude spans them, and always has spann’d, And shall forever span them and compactly hold and enclose them.",Walt Whitman
One's-Self I Sing,"One’s-Self I sing, a simple separate person, Yet utter the word Democratic, the word En-Masse.  Of physiology from top to toe I sing, Not physiognomy alone nor brain alone is worthy for the Muse, I say the Form complete is worthier far, The Female equally with the Male I sing.  Of Life immense in passion, pulse, and power, Cheerful, for freest action form’d under the laws divine, The Modern Man I sing.",Walt Whitman
